review_id,user_id,isbn,review_title,review_content,status
28,babyG,9791163035398,이 책은 정말 감동적이었습니다.,"백엔드 개발에 필요한 스프링 부트의 핵심만 담았다!
자바 웹 개발의 한 사이클을 이 책으로 15일 안에 배워 보자

국내 최초 파이썬 책인 《Do it! 점프 투 파이썬》을 집필한...",ACTIVE
29,jsExpert,9791191905717,이 책은 정말 추천할만합니다.,실력을 갖춘 개발자로 성장하려면 시작이 중요합니다. 그래서 이 책은 무엇부터 익혀야 하는지 막막한 입문자에게 백엔드 개발의 필수 지식을 학습 로드맵 중심으로 설명합니다. 이어서 스...,ACTIVE
30,bookworm,9791158391850,이 책은 정말 감동적이었습니다.,"프런트엔드와 백엔드 웹 개발에서 스프링과 Vue를 사용해 효율성을 높이자!

이 책은 실용적인 접근법으로 풀스택 웹 개발자가 되는 데 도움을 줍니다. 개발자는 프런트엔드와 백엔드 ...",ACTIVE
31,bookworm,9791161757629,이 책은 정말 감동적이었습니다.,"이벤트 기반 마이크로서비스가 Axon 2 프레임워크로 구현된 CQRS 패턴으로 작동하는 방식을 배운다. 그리고 분산 트랜잭션이 마이크로서비스에 어떻게 작동하는지, 고가용성 및 확장...",ACTIVE
32,reader21,9791160501506,이 책은 정말 추천할만합니다.,"최소한의 설정으로 빠르게, 생산적으로 코드를 작성하자!

[스프링 부트 프로그래밍 입문]은 자바 웹 개발을 한다면 빼놓을 수 없는 스프링 프레임워크를 쉽게 사용할 수 있는 스프링 ...",ACTIVE
33,q1w2e3,9791187497158,이 책은 정말 감동적이었습니다.,"한 권으로 정리하는 스프링 부트 A to Z

저자가 여러 스프링 부트 참고문서를 기반으로 직접 써보며 습득한 내용을 기반으로 집필!
스프링 부트의 기본 설명은 물론 활용 방법과 ...",ACTIVE
34,typeScriptFan,9791141031527,이 책은 정말 감동적이었습니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론...",ACTIVE
35,nonFicReader,9791161758633,이 책은 정말 감동적이었습니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점...",ACTIVE
36,javaCoder,9791163035398,이 책은 정말 추천할만합니다.,"백엔드 개발에 필요한 스프링 부트의 핵심만 담았다!
자바 웹 개발의 한 사이클을 이 책으로 15일 안에 배워 보자

국내 최초 파이썬 책인 《Do it! 점프 투 파이썬》을 집필한...",ACTIVE
37,jsExpert,9791161751108,이 책은 정말 읽을 가치가 있습니다.,"마이크로서비스 아키텍처 개념을 먼저 알아보고 일반적인 스프링 부트 웹 애플리케이션을 스프링 클라우드, 스프링 리액티브 기술을 활용해서 마이크로서비스로 만들어가는 과정을 풍부한 예제...",ACTIVE
38,libroLover,9791158391850,이 책은 정말 감동적이었습니다.,"프런트엔드와 백엔드 웹 개발에서 스프링과 Vue를 사용해 효율성을 높이자!

이 책은 실용적인 접근법으로 풀스택 웹 개발자가 되는 데 도움을 줍니다. 개발자는 프런트엔드와 백엔드 ...",ACTIVE
39,readerPro,9791141031527,이 책은 정말 감동적이었습니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론...",ACTIVE
40,reader21,9791141031527,이 책은 정말 읽을 가치가 있습니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론...",ACTIVE
