book_like_id,user_id,isbn,status
124,q1w2e3,9791188621279,ACTIVE
125,designPro,9791188621279,ACTIVE
126,reader21,9791169210966,ACTIVE
127,jsExpert,9791169210966,ACTIVE
128,devFan,9791169210966,ACTIVE
129,q1w2e3,9791169210966,ACTIVE
130,springBooter,9791169210966,ACTIVE
131,javaCoder,9791169210966,ACTIVE
132,readerPro,9791169210966,ACTIVE
133,typeScriptFan,9791169210966,ACTIVE
134,designPro,9791169210966,ACTIVE
135,litLover,9791169210966,ACTIVE
136,q1w2e3,9791189184124,ACTIVE
137,javaCoder,9791189184124,ACTIVE
138,ssafy,9791189184124,ACTIVE
139,fantasyFan,9791161757629,ACTIVE
140,javaCoder,9791161757629,ACTIVE
141,jsExpert,9791161757629,ACTIVE
142,nonFicReader,9791191905298,ACTIVE
143,litLover,9791191905298,ACTIVE
144,codeLover,9791191905298,ACTIVE
145,reader21,9791191905298,ACTIVE
146,designPro,9791191905298,ACTIVE
147,jsExpert,9791189184070,ACTIVE
148,devFan,9791189184070,ACTIVE
149,readerPro,9791189184070,ACTIVE
150,typeScriptFan,9791189184070,ACTIVE
151,codeLover,9791189184117,ACTIVE
152,q1w2e3,9791189184117,ACTIVE
153,devFan,9791189184117,ACTIVE
154,kDramaFan,9791140702121,ACTIVE
155,springBooter,9791140702121,ACTIVE
156,fantasyFan,9791140702121,ACTIVE
157,codeLover,9791140702121,ACTIVE
158,javaCoder,9791140702121,ACTIVE
159,devFan,9791140702121,ACTIVE
160,nonFicReader,9791140702121,ACTIVE
161,reader21,9791140702121,ACTIVE
162,reader21,9791141097547,ACTIVE
163,ssafy,9791141097547,ACTIVE
164,devFan,9791161750286,ACTIVE
165,kDramaFan,9791161750286,ACTIVE
166,typeScriptFan,9791161750286,ACTIVE
167,ssafy,9791161750286,ACTIVE
168,jsExpert,9791161750286,ACTIVE
169,bookworm,9788924100174,ACTIVE
170,typeScriptFan,9791158391416,ACTIVE
171,babyG,9791158391416,ACTIVE
172,codeLover,9791158391416,ACTIVE
173,nonFicReader,9791158391416,ACTIVE
174,designPro,9791158391416,ACTIVE
175,libroLover,9791158391416,ACTIVE
176,jsExpert,9791158391416,ACTIVE
177,q1w2e3,9791158391416,ACTIVE
178,kDramaFan,9791158391416,ACTIVE
179,kDramaFan,9791192987675,ACTIVE
180,fullstack21,9791192987675,ACTIVE
181,designPro,9791192987675,ACTIVE
182,springBooter,9791192987675,ACTIVE
183,libroLover,9791192987675,ACTIVE
184,fantasyFan,9791192987675,ACTIVE
185,javaCoder,9791192987675,ACTIVE
186,devFan,9791192987675,ACTIVE
187,babyG,9791192987675,ACTIVE
188,javaCoder,9791140705078,ACTIVE
189,jsExpert,9788965402602,ACTIVE
190,designPro,9788965402602,ACTIVE
191,javaCoder,9788965402602,ACTIVE
192,fantasyFan,9788965402602,ACTIVE
193,jsExpert,9791141076870,ACTIVE
194,ssafy,9791141076870,ACTIVE
195,libroLover,9791141012304,ACTIVE
196,nonFicReader,9791141012304,ACTIVE
197,babyG,9791141012304,ACTIVE
198,q1w2e3,9791141012304,ACTIVE
199,codeLover,9791141012304,ACTIVE
200,springBooter,9791141012304,ACTIVE
201,bookworm,9791141012304,ACTIVE
202,springBooter,9791161751108,ACTIVE
203,q1w2e3,9791161751108,ACTIVE
204,typeScriptFan,9791161751108,ACTIVE
205,designPro,9791161751108,ACTIVE
206,ssafy,9791161751108,ACTIVE
207,fullstack21,9791161751108,ACTIVE
208,libroLover,9791161751108,ACTIVE
209,vueMaster,9791161751108,ACTIVE
210,designPro,9791161756776,ACTIVE
211,codeLover,9791161756776,ACTIVE
212,libroLover,9791161756776,ACTIVE
213,springBooter,9791161756776,ACTIVE
214,devFan,9791161756776,ACTIVE
215,jsExpert,9791161756776,ACTIVE
216,readerPro,9791161756776,ACTIVE
217,q1w2e3,9791161756776,ACTIVE
218,nonFicReader,9791161756776,ACTIVE
219,nonFicReader,9791161758558,ACTIVE
220,devFan,9791161758558,ACTIVE
221,jsExpert,9791161758558,ACTIVE
222,kDramaFan,9788997924899,ACTIVE
223,libroLover,9788997924899,ACTIVE
224,codeLover,9788997924899,ACTIVE
225,vueMaster,9788997924899,ACTIVE
226,babyG,9788997924899,ACTIVE
227,reader21,9791161755656,ACTIVE
228,readerPro,9791161755656,ACTIVE
229,devFan,9791158394097,ACTIVE
230,babyG,9791158394097,ACTIVE
231,javaCoder,9791158394097,ACTIVE
232,libroLover,9791158394097,ACTIVE
233,q1w2e3,9791158394097,ACTIVE
234,reader21,9791158394097,ACTIVE
235,jsExpert,9791158394097,ACTIVE
236,jsExpert,9791140700448,ACTIVE
237,fantasyFan,9791140700448,ACTIVE
238,fullstack21,9791140700448,ACTIVE
239,javaCoder,9791140700448,ACTIVE
240,vueMaster,9791140700448,ACTIVE
241,designPro,9791140700448,ACTIVE
242,designPro,9791161754406,ACTIVE
243,reader21,9791161754406,ACTIVE
244,litLover,9791161754406,ACTIVE
245,typeScriptFan,9791161754406,ACTIVE
246,kDramaFan,9791161754406,ACTIVE
247,nonFicReader,9791161751825,ACTIVE
248,reader21,9791161751825,ACTIVE
249,springBooter,9791161751825,ACTIVE
250,devFan,9791161751825,ACTIVE
251,kDramaFan,9791161751825,ACTIVE
252,fantasyFan,9791161751825,ACTIVE
253,jsExpert,9791161751825,ACTIVE
254,nonFicReader,9791161754673,ACTIVE
255,q1w2e3,9791161754673,ACTIVE
256,javaCoder,9791161754673,ACTIVE
257,vueMaster,9791161754673,ACTIVE
258,babyG,9791161754673,ACTIVE
259,fullstack21,9791161754673,ACTIVE
260,devFan,9791161754673,ACTIVE
261,springBooter,9791161754673,ACTIVE
262,designPro,9791158391850,ACTIVE
263,typeScriptFan,9791158391850,ACTIVE
264,kDramaFan,9791158391850,ACTIVE
265,bookworm,9791158391850,ACTIVE
266,jsExpert,9791161752556,ACTIVE
267,litLover,9791161752556,ACTIVE
268,bookworm,9791161752556,ACTIVE
269,babyG,9791161752556,ACTIVE
270,vueMaster,9791161752556,ACTIVE
271,typeScriptFan,9791161752556,ACTIVE
272,q1w2e3,9791161752556,ACTIVE
273,reader21,9791161752556,ACTIVE
274,codeLover,9791188621415,ACTIVE
275,libroLover,9791188621415,ACTIVE
